,marca_x,modelo_x,marca_y_modelo_km77,match,marca_y,modelo_y,marca_y_modelo_dgt
0,FORD,EXPLORER,FORD EXPLORER,FORD EXPLORER,FORD,EXPLORER,FORD EXPLORER
1,MERCEDES,AMG GT,MERCEDES AMG GT,MERCEDES AMG AMG GT,MERCEDES AMG,AMG GT,MERCEDES AMG AMG GT
2,MERCEDES,AMG GT BLACK SERIES,MERCEDES AMG GT BLACK SERIES,MERCEDES AMG AMG GT,MERCEDES AMG,AMG GT,MERCEDES AMG AMG GT
3,MAZDA,CX 80,MAZDA CX 80,MAZDA CX 30,MAZDA,CX 30,MAZDA CX 30
4,MAZDA,CX 30,MAZDA CX 30,MAZDA CX 30,MAZDA,CX 30,MAZDA CX 30
5,BMW,IX3,BMW IX3,BMW IX3,BMW,IX3,BMW IX3
6,FIAT,BRAVO,FIAT BRAVO,FIAT BRAVO,FIAT,BRAVO,FIAT BRAVO
7,OMODA,5,OMODA 5,OMODA 5,OMODA,5,OMODA 5
8,SEAT,IBIZA,SEAT IBIZA,SEAT IBIZA,SEAT,IBIZA,SEAT IBIZA
9,ASTON MARTIN,VANTAGE,ASTON MARTIN VANTAGE,ASTON MARTIN VANTAGE,ASTON MARTIN,VANTAGE,ASTON MARTIN VANTAGE
10,ASTON MARTIN,VANTAGE V12,ASTON MARTIN VANTAGE V12,ASTON MARTIN VANTAGE,ASTON MARTIN,VANTAGE,ASTON MARTIN VANTAGE
11,FIAT,500,FIAT 500,FIAT 500,FIAT,500,FIAT 500
12,TESLA,MODEL Y,TESLA MODEL Y,TESLA MODEL Y,TESLA,MODEL Y,TESLA MODEL Y
13,BMW,SERIE 3 M3 CS,BMW SERIE 3 M3 CS,BMW SERIE 3,BMW,SERIE 3,BMW SERIE 3
14,BMW,SERIE 3,BMW SERIE 3,BMW SERIE 3,BMW,SERIE 3,BMW SERIE 3
15,BMW,SERIE 3 M3,BMW SERIE 3 M3,BMW SERIE 3,BMW,SERIE 3,BMW SERIE 3
16,BMW,SERIE 3 EDRIVE,BMW SERIE 3 EDRIVE,BMW SERIE 3,BMW,SERIE 3,BMW SERIE 3
17,BMW,SERIE 3 GRAN TURISMO,BMW SERIE 3 GRAN TURISMO,BMW SERIE 3,BMW,SERIE 3,BMW SERIE 3
18,BMW,SERIE 3 ESTANDAR,BMW SERIE 3 ESTANDAR,BMW SERIE 3,BMW,SERIE 3,BMW SERIE 3
19,HONDA,CR V,HONDA CR V,HONDA CR V,HONDA,CR V,HONDA CR V
20,HONDA,CR V,HONDA CR V,HONDA CR V,HONDA,CR V,HONDA CR V
21,HONDA,CR V,HONDA CR V,HONDA CR V,HONDA,CR V,HONDA CR V
22,HONDA,CR V HYBRID,HONDA CR V HYBRID,HONDA CR V,HONDA,CR V,HONDA CR V
23,HONDA,CR V HYBRID,HONDA CR V HYBRID,HONDA CR V,HONDA,CR V,HONDA CR V
24,HONDA,CR V HYBRID,HONDA CR V HYBRID,HONDA CR V,HONDA,CR V,HONDA CR V
25,MAZDA,CX 60,MAZDA CX 60,MAZDA CX 60,MAZDA,CX 60,MAZDA CX 60
26,PEUGEOT,5008,PEUGEOT 5008,PEUGEOT 5008,PEUGEOT,5008,PEUGEOT 5008
27,HYUNDAI,SANTA FE,HYUNDAI SANTA FE,HYUNDAI SANTA FE,HYUNDAI,SANTA FE,HYUNDAI SANTA FE
28,OPEL,ZAFIRA,OPEL ZAFIRA,OPEL ZAFIRA,OPEL,ZAFIRA,OPEL ZAFIRA
29,OPEL,ZAFIRA LIFE ELECTRIC,OPEL ZAFIRA LIFE ELECTRIC,OPEL ZAFIRA,OPEL,ZAFIRA,OPEL ZAFIRA
30,OPEL,ZAFIRA OPC,OPEL ZAFIRA OPC,OPEL ZAFIRA,OPEL,ZAFIRA,OPEL ZAFIRA
31,MERCEDES,CLA E,MERCEDES CLA E,MERCEDES BENZ E 320 CDI,MERCEDES BENZ,E 320 CDI,MERCEDES BENZ E 320 CDI
32,SKODA,KODIAQ RS,SKODA KODIAQ RS,SKODA KODIAQ,SKODA,KODIAQ,SKODA KODIAQ
33,SKODA,KODIAQ,SKODA KODIAQ,SKODA KODIAQ,SKODA,KODIAQ,SKODA KODIAQ
34,SKODA,KODIAQ SCOUT,SKODA KODIAQ SCOUT,SKODA KODIAQ,SKODA,KODIAQ,SKODA KODIAQ
35,CUPRA,FORMENTOR,CUPRA FORMENTOR,CUPRA FORMENTOR,CUPRA,FORMENTOR,CUPRA FORMENTOR
36,PEUGEOT,3008,PEUGEOT 3008,PEUGEOT 3008,PEUGEOT,3008,PEUGEOT 3008
37,PEUGEOT,3008 HYBRID4,PEUGEOT 3008 HYBRID4,PEUGEOT 3008,PEUGEOT,3008,PEUGEOT 3008
38,SKODA,ENYAQ,SKODA ENYAQ,SKODA ENYAQ 80,SKODA,ENYAQ 80,SKODA ENYAQ 80
39,HYUNDAI,IONIQ 5,HYUNDAI IONIQ 5,HYUNDAI IONIQ 5,HYUNDAI,IONIQ 5,HYUNDAI IONIQ 5
40,CITROEN,C3,CITROEN C3,CITROEN C3,CITROEN,C3,CITROEN C3
41,CITROEN,C3 PLURIEL,CITROEN C3 PLURIEL,CITROEN C3,CITROEN,C3,CITROEN C3
42,MERCEDES,CLASE GLC,MERCEDES CLASE GLC,MERCEDES BENZ CLASE GLC,MERCEDES BENZ,CLASE GLC,MERCEDES BENZ CLASE GLC
43,MERCEDES,CLASE GLC E,MERCEDES CLASE GLC E,MERCEDES BENZ CLASE GLC,MERCEDES BENZ,CLASE GLC,MERCEDES BENZ CLASE GLC
44,KIA,EV6,KIA EV6,KIA EV6,KIA,EV6,KIA EV6
45,BYD,ATTO 2,BYD ATTO 2,BYD ATTO 3,BYD,ATTO 3,BYD ATTO 3
46,BYD,ATTO 3,BYD ATTO 3,BYD ATTO 3,BYD,ATTO 3,BYD ATTO 3
47,AUDI,Q7,AUDI Q7,AUDI Q7,AUDI,Q7,AUDI Q7
48,AUDI,Q7 E,AUDI Q7 E,AUDI Q7,AUDI,Q7,AUDI Q7
49,CITROEN,C3 AIRCROSS,CITROEN C3 AIRCROSS,CITROEN C3 AIRCROSS,CITROEN,C3 AIRCROSS,CITROEN C3 AIRCROSS
50,TOYOTA,YARIS,TOYOTA YARIS,TOYOTA YARIS,TOYOTA,YARIS,TOYOTA YARIS
51,TOYOTA,YARIS GR,TOYOTA YARIS GR,TOYOTA YARIS,TOYOTA,YARIS,TOYOTA YARIS
52,TOYOTA,YARIS GRMN,TOYOTA YARIS GRMN,TOYOTA YARIS,TOYOTA,YARIS,TOYOTA YARIS
53,TOYOTA,YARIS T SPORT,TOYOTA YARIS T SPORT,TOYOTA YARIS,TOYOTA,YARIS,TOYOTA YARIS
54,FORD,MUSTANG MACH E,FORD MUSTANG MACH E,FORD MUSTANG MACH E,FORD,MUSTANG MACH E,FORD MUSTANG MACH E
55,FORD,MUSTANG MACH 1,FORD MUSTANG MACH 1,FORD MUSTANG MACH E,FORD,MUSTANG MACH E,FORD MUSTANG MACH E
56,SUBARU,FORESTER,SUBARU FORESTER,SUBARU FORESTER,SUBARU,FORESTER,SUBARU FORESTER
57,DS,7,DS 7,DS 7 CROSSBACK BLUEHDI,DS,7 CROSSBACK BLUEHDI,DS 7 CROSSBACK BLUEHDI
58,AUDI,Q5,AUDI Q5,AUDI Q5,AUDI,Q5,AUDI Q5
59,AUDI,Q5 TFSIE,AUDI Q5 TFSIE,AUDI Q5,AUDI,Q5,AUDI Q5
60,AUDI,Q5 HYBRID,AUDI Q5 HYBRID,AUDI Q5,AUDI,Q5,AUDI Q5
61,NISSAN,QASHQAI,NISSAN QASHQAI,NISSAN QASHQAI,NISSAN,QASHQAI,NISSAN QASHQAI
62,TOYOTA,URBAN CRUISER,TOYOTA URBAN CRUISER,TOYOTA URBAN CRUISER,TOYOTA,URBAN CRUISER,TOYOTA URBAN CRUISER
63,FIAT,TIPO,FIAT TIPO,FIAT TIPO,FIAT,TIPO,FIAT TIPO
64,BMW,X3,BMW X3,BMW X3,BMW,X3,BMW X3
65,BMW,X3 E,BMW X3 E,BMW X3,BMW,X3,BMW X3
66,HONDA,PRELUDE,HONDA PRELUDE,HONDA PRELUDE,HONDA,PRELUDE,HONDA PRELUDE
67,ALFA ROMEO,STELVIO QUADRIFOGLIO,ALFA ROMEO STELVIO QUADRIFOGLIO,ALFA ROMEO STELVIO QUADRIFOGLIO,ALFA ROMEO,STELVIO QUADRIFOGLIO,ALFA ROMEO STELVIO QUADRIFOGLIO
68,TOYOTA,C HR,TOYOTA C HR,TOYOTA C HR,TOYOTA,C HR,TOYOTA C HR
69,TOYOTA,C HR,TOYOTA C HR,TOYOTA C HR,TOYOTA,C HR,TOYOTA C HR
70,TOYOTA,C HR PHEV,TOYOTA C HR PHEV,TOYOTA C HR,TOYOTA,C HR,TOYOTA C HR
71,TOYOTA,C HR PHEV,TOYOTA C HR PHEV,TOYOTA C HR,TOYOTA,C HR,TOYOTA C HR
72,RENAULT,RAFALE,RENAULT RAFALE,RENAULT RAFALE,RENAULT,RAFALE,RENAULT RAFALE
73,RENAULT,RAFALE PHEV,RENAULT RAFALE PHEV,RENAULT RAFALE,RENAULT,RAFALE,RENAULT RAFALE
74,OPEL,GRANDLAND,OPEL GRANDLAND,OPEL GRANDLAND X,OPEL,GRANDLAND X,OPEL GRANDLAND X
75,OPEL,GRANDLAND X HIBRIDO ENCHUFABLE,OPEL GRANDLAND X HIBRIDO ENCHUFABLE,OPEL GRANDLAND X,OPEL,GRANDLAND X,OPEL GRANDLAND X
76,OPEL,GRANDLAND X,OPEL GRANDLAND X,OPEL GRANDLAND X,OPEL,GRANDLAND X,OPEL GRANDLAND X
77,RENAULT,5,RENAULT 5,RENAULT 5 GTL,RENAULT,5 GTL,RENAULT 5 GTL
78,FORD,PUMA ELECTRICO,FORD PUMA ELECTRICO,FORD PUMA,FORD,PUMA,FORD PUMA
79,FORD,PUMA,FORD PUMA,FORD PUMA,FORD,PUMA,FORD PUMA
80,FORD,PUMA ST,FORD PUMA ST,FORD PUMA,FORD,PUMA,FORD PUMA
81,AUDI,A5,AUDI A5,AUDI A5,AUDI,A5,AUDI A5
82,AUDI,A5 RS 5,AUDI A5 RS 5,AUDI A5,AUDI,A5,AUDI A5
83,AUDI,A5 ESTANDAR,AUDI A5 ESTANDAR,AUDI A5,AUDI,A5,AUDI A5
84,AUDI,A5 S5,AUDI A5 S5,AUDI A5,AUDI,A5,AUDI A5
85,OPEL,FRONTERA,OPEL FRONTERA,OPEL FRONTERA,OPEL,FRONTERA,OPEL FRONTERA
86,VOLKSWAGEN,GOLF GTI,VOLKSWAGEN GOLF GTI,VOLKSWAGEN GOLF GTI,VOLKSWAGEN,GOLF GTI,VOLKSWAGEN GOLF GTI
87,VOLKSWAGEN,GOLF GTI TCR,VOLKSWAGEN GOLF GTI TCR,VOLKSWAGEN GOLF GTI,VOLKSWAGEN,GOLF GTI,VOLKSWAGEN GOLF GTI
88,MITSUBISHI,ASX,MITSUBISHI ASX,MITSUBISHI ASX,MITSUBISHI,ASX,MITSUBISHI ASX
89,MITSUBISHI,ASX PHEV,MITSUBISHI ASX PHEV,MITSUBISHI ASX,MITSUBISHI,ASX,MITSUBISHI ASX
90,LYNK CO,01,LYNK CO 01,LYNK CO LYNK CO 01,LYNK CO,LYNK CO 01,LYNK CO LYNK CO 01
91,BYD,SEAL U,BYD SEAL U,BYD SEAL,BYD,SEAL,BYD SEAL
92,BYD,SEAL,BYD SEAL,BYD SEAL,BYD,SEAL,BYD SEAL
93,PORSCHE,MACAN,PORSCHE MACAN,PORSCHE MACAN,PORSCHE,MACAN,PORSCHE MACAN
94,SEAT,LEON EHYBRID,SEAT LEON EHYBRID,SEAT LEON,SEAT,LEON,SEAT LEON
95,SEAT,LEON,SEAT LEON,SEAT LEON,SEAT,LEON,SEAT LEON
96,ISUZU,D MAX,ISUZU D MAX,ISUZU D MAX,ISUZU,D MAX,ISUZU D MAX
97,AUDI,A3,AUDI A3,AUDI A3,AUDI,A3,AUDI A3
98,FIAT,DOBLO,FIAT DOBLO,FIAT DOBLO,FIAT,DOBLO,FIAT DOBLO
99,FIAT,DOBLO,FIAT DOBLO,FIAT DOBLO,FIAT,DOBLO,FIAT DOBLO
100,AUDI,Q6 E TRON,AUDI Q6 E TRON,AUDI E TRON,AUDI,E TRON,AUDI E TRON
101,AUDI,E TRON,AUDI E TRON,AUDI E TRON,AUDI,E TRON,AUDI E TRON
102,AUDI,E TRON S,AUDI E TRON S,AUDI E TRON,AUDI,E TRON,AUDI E TRON
103,VOLVO,XC40,VOLVO XC40,VOLVO XC40,VOLVO,XC40,VOLVO XC40
104,VOLVO,XC40 ELECTRICO,VOLVO XC40 ELECTRICO,VOLVO XC40,VOLVO,XC40,VOLVO XC40
105,VOLVO,XC40 PLUG IN HYBRID,VOLVO XC40 PLUG IN HYBRID,VOLVO XC40,VOLVO,XC40,VOLVO XC40
106,HYUNDAI,STARIA,HYUNDAI STARIA,HYUNDAI STARIA,HYUNDAI,STARIA,HYUNDAI STARIA
107,KIA,SPORTAGE,KIA SPORTAGE,KIA SPORTAGE,KIA,SPORTAGE,KIA SPORTAGE
108,KIA,SPORTAGE PHEV,KIA SPORTAGE PHEV,KIA SPORTAGE,KIA,SPORTAGE,KIA SPORTAGE
109,TESLA,MODEL 3,TESLA MODEL 3,TESLA MODEL 3,TESLA,MODEL 3,TESLA MODEL 3
110,PORSCHE,TAYCAN,PORSCHE TAYCAN,PORSCHE TAYCAN,PORSCHE,TAYCAN,PORSCHE TAYCAN
111,HYUNDAI,IONIQ 9,HYUNDAI IONIQ 9,HYUNDAI IONIQ,HYUNDAI,IONIQ,HYUNDAI IONIQ
112,HYUNDAI,IONIQ 5 N,HYUNDAI IONIQ 5 N,HYUNDAI IONIQ,HYUNDAI,IONIQ,HYUNDAI IONIQ
113,HYUNDAI,IONIQ,HYUNDAI IONIQ,HYUNDAI IONIQ,HYUNDAI,IONIQ,HYUNDAI IONIQ
114,KIA,SORENTO,KIA SORENTO,KIA SORENTO,KIA,SORENTO,KIA SORENTO
115,KIA,SORENTO PHEV,KIA SORENTO PHEV,KIA SORENTO,KIA,SORENTO,KIA SORENTO
116,ABARTH,500,ABARTH 500,ABARTH 500,ABARTH,500,ABARTH 500
117,SUZUKI,VITARA,SUZUKI VITARA,SUZUKI VITARA,SUZUKI,VITARA,SUZUKI VITARA
118,BMW,X6,BMW X6,BMW X6,BMW,X6,BMW X6
119,BMW,X6 M,BMW X6 M,BMW X6,BMW,X6,BMW X6
120,BMW,X6 X6 M,BMW X6 X6 M,BMW X6,BMW,X6,BMW X6
121,AUDI,A1 ESTANDAR,AUDI A1 ESTANDAR,AUDI A1,AUDI,A1,AUDI A1
122,AUDI,A1,AUDI A1,AUDI A1,AUDI,A1,AUDI A1
123,AUDI,A1 S1,AUDI A1 S1,AUDI A1,AUDI,A1,AUDI A1
124,NISSAN,ARIYA NISMO,NISSAN ARIYA NISMO,NISSAN ARIYA,NISSAN,ARIYA,NISSAN ARIYA
125,NISSAN,ARIYA,NISSAN ARIYA,NISSAN ARIYA,NISSAN,ARIYA,NISSAN ARIYA
126,PORSCHE,911 T,PORSCHE 911 T,PORSCHE 911 T,PORSCHE,911 T,PORSCHE 911 T
127,PORSCHE,911 ST,PORSCHE 911 ST,PORSCHE 911 T,PORSCHE,911 T,PORSCHE 911 T
128,SKODA,SUPERB,SKODA SUPERB,SKODA SUPERB,SKODA,SUPERB,SKODA SUPERB
129,MG,ZS,MG ZS,MG ZS,MG,ZS,MG ZS
130,MITSUBISHI,OUTLANDER,MITSUBISHI OUTLANDER,MITSUBISHI OUTLANDER,MITSUBISHI,OUTLANDER,MITSUBISHI OUTLANDER
131,CITROEN,C4,CITROEN C4,CITROEN C4,CITROEN,C4,CITROEN C4
132,CITROEN,C4 X,CITROEN C4 X,CITROEN C4,CITROEN,C4,CITROEN C4
133,CITROEN,C4 E,CITROEN C4 E,CITROEN C4,CITROEN,C4,CITROEN C4
134,PORSCHE,911 GT3,PORSCHE 911 GT3,PORSCHE 911 GT3,PORSCHE,911 GT3,PORSCHE 911 GT3
135,PORSCHE,911 GT3 RS,PORSCHE 911 GT3 RS,PORSCHE 911 GT3,PORSCHE,911 GT3,PORSCHE 911 GT3
136,JEEP,AVENGER,JEEP AVENGER,JEEP AVENGER,JEEP,AVENGER,JEEP AVENGER
137,AUDI,A6,AUDI A6,AUDI A6,AUDI,A6,AUDI A6
138,AUDI,A6 E,AUDI A6 E,AUDI A6,AUDI,A6,AUDI A6
139,AUDI,A6 ESTANDAR,AUDI A6 ESTANDAR,AUDI A6,AUDI,A6,AUDI A6
140,PEUGEOT,308,PEUGEOT 308,PEUGEOT 308,PEUGEOT,308,PEUGEOT 308
141,PEUGEOT,308 E,PEUGEOT 308 E,PEUGEOT 308,PEUGEOT,308,PEUGEOT 308
142,PEUGEOT,308 GTI,PEUGEOT 308 GTI,PEUGEOT 308,PEUGEOT,308,PEUGEOT 308
143,DACIA,DUSTER,DACIA DUSTER,DACIA DUSTER,DACIA,DUSTER,DACIA DUSTER
144,OPEL,MOKKA,OPEL MOKKA,OPEL MOKKA,OPEL,MOKKA,OPEL MOKKA
145,OPEL,MOKKA E,OPEL MOKKA E,OPEL MOKKA,OPEL,MOKKA,OPEL MOKKA
146,ROLLS ROYCE,GHOST,ROLLS ROYCE GHOST,ROLLS ROYCE GHOST,ROLLS ROYCE,GHOST,ROLLS ROYCE GHOST
147,VOLKSWAGEN,ARTEON,VOLKSWAGEN ARTEON,VOLKSWAGEN ARTEON,VOLKSWAGEN,ARTEON,VOLKSWAGEN ARTEON
148,BMW,SERIE 1,BMW SERIE 1,BMW SERIE 1,BMW,SERIE 1,BMW SERIE 1
149,BMW,SERIE 1 ESTANDAR,BMW SERIE 1 ESTANDAR,BMW SERIE 1,BMW,SERIE 1,BMW SERIE 1
150,BMW,SERIE 2,BMW SERIE 2,BMW SERIE,BMW,SERIE,BMW SERIE
151,BMW,SERIE 4 M4,BMW SERIE 4 M4,BMW SERIE,BMW,SERIE,BMW SERIE
152,BMW,SERIE 2 ESTANDAR,BMW SERIE 2 ESTANDAR,BMW SERIE,BMW,SERIE,BMW SERIE
153,BMW,SERIE 2 M2,BMW SERIE 2 M2,BMW SERIE,BMW,SERIE,BMW SERIE
154,BMW,SERIE 4,BMW SERIE 4,BMW SERIE,BMW,SERIE,BMW SERIE
155,BMW,SERIE 8 M8,BMW SERIE 8 M8,BMW SERIE,BMW,SERIE,BMW SERIE
156,BMW,SERIE 4 ESTANDAR,BMW SERIE 4 ESTANDAR,BMW SERIE,BMW,SERIE,BMW SERIE
157,BMW,SERIE 6,BMW SERIE 6,BMW SERIE,BMW,SERIE,BMW SERIE
158,BMW,SERIE 2 M2 CS,BMW SERIE 2 M2 CS,BMW SERIE,BMW,SERIE,BMW SERIE
159,BMW,SERIE 8,BMW SERIE 8,BMW SERIE,BMW,SERIE,BMW SERIE
160,BMW,SERIE 4 M4 CS,BMW SERIE 4 M4 CS,BMW SERIE,BMW,SERIE,BMW SERIE
161,BMW,SERIE 7 IPERFORMANCE,BMW SERIE 7 IPERFORMANCE,BMW SERIE,BMW,SERIE,BMW SERIE
162,BMW,SERIE 2 ACTIVE TOURER,BMW SERIE 2 ACTIVE TOURER,BMW SERIE,BMW,SERIE,BMW SERIE
163,BMW,SERIE 2 GRAN TOURER,BMW SERIE 2 GRAN TOURER,BMW SERIE,BMW,SERIE,BMW SERIE
164,BMW,SERIE 6 M6,BMW SERIE 6 M6,BMW SERIE,BMW,SERIE,BMW SERIE
165,VOLKSWAGEN,UP,VOLKSWAGEN UP,VOLKSWAGEN UP,VOLKSWAGEN,UP,VOLKSWAGEN UP
166,VOLKSWAGEN,UP,VOLKSWAGEN UP,VOLKSWAGEN UP,VOLKSWAGEN,UP,VOLKSWAGEN UP
167,VOLKSWAGEN,UP E UP,VOLKSWAGEN UP E UP,VOLKSWAGEN UP,VOLKSWAGEN,UP,VOLKSWAGEN UP
168,VOLKSWAGEN,UP E UP,VOLKSWAGEN UP E UP,VOLKSWAGEN UP,VOLKSWAGEN,UP,VOLKSWAGEN UP
169,KIA,CEE D,KIA CEE D,KIA CEE D,KIA,CEE D,KIA CEE D
170,KIA,CEE D,KIA CEE D,KIA CEE D,KIA,CEE D,KIA CEE D
171,KIA,CEE D,KIA CEE D,KIA CEE D,KIA,CEE D,KIA CEE D
172,KIA,CEE D,KIA CEE D,KIA CEE D,KIA,CEE D,KIA CEE D
173,KIA,CEE D PHEV,KIA CEE D PHEV,KIA CEE D,KIA,CEE D,KIA CEE D
174,KIA,CEE D PHEV,KIA CEE D PHEV,KIA CEE D,KIA,CEE D,KIA CEE D
175,KIA,CEE D PHEV,KIA CEE D PHEV,KIA CEE D,KIA,CEE D,KIA CEE D
176,KIA,CEE D PHEV,KIA CEE D PHEV,KIA CEE D,KIA,CEE D,KIA CEE D
177,KIA,CEE D GT,KIA CEE D GT,KIA CEE D,KIA,CEE D,KIA CEE D
178,KIA,CEE D GT,KIA CEE D GT,KIA CEE D,KIA,CEE D,KIA CEE D
179,KIA,CEE D GT,KIA CEE D GT,KIA CEE D,KIA,CEE D,KIA CEE D
180,KIA,CEE D GT,KIA CEE D GT,KIA CEE D,KIA,CEE D,KIA CEE D
181,LANCIA,YPSILON,LANCIA YPSILON,LANCIA YPSILON,LANCIA,YPSILON,LANCIA YPSILON
182,VOLKSWAGEN,PASSAT,VOLKSWAGEN PASSAT,VOLKSWAGEN PASSAT,VOLKSWAGEN,PASSAT,VOLKSWAGEN PASSAT
183,VOLKSWAGEN,PASSAT GTE,VOLKSWAGEN PASSAT GTE,VOLKSWAGEN PASSAT,VOLKSWAGEN,PASSAT,VOLKSWAGEN PASSAT
184,VOLKSWAGEN,PASSAT R LINE,VOLKSWAGEN PASSAT R LINE,VOLKSWAGEN PASSAT,VOLKSWAGEN,PASSAT,VOLKSWAGEN PASSAT
185,JEEP,COMPASS,JEEP COMPASS,JEEP COMPASS,JEEP,COMPASS,JEEP COMPASS
186,JEEP,COMPASS 4XE,JEEP COMPASS 4XE,JEEP COMPASS,JEEP,COMPASS,JEEP COMPASS
187,TOYOTA,BZ4X,TOYOTA BZ4X,TOYOTA BZ4X,TOYOTA,BZ4X,TOYOTA BZ4X
188,FORD,TOURNEO CONNECT,FORD TOURNEO CONNECT,FORD TOURNEO CONNECT,FORD,TOURNEO CONNECT,FORD TOURNEO CONNECT
189,FORD,TOURNEO CONNECT,FORD TOURNEO CONNECT,FORD TOURNEO CONNECT,FORD,TOURNEO CONNECT,FORD TOURNEO CONNECT
190,BMW,I5,BMW I5,BMW I5 M60 XDRIVE,BMW,I5 M60 XDRIVE,BMW I5 M60 XDRIVE
191,POLESTAR,2,POLESTAR 2,POLESTAR 2,POLESTAR,2,POLESTAR 2
192,HONDA,JAZZ,HONDA JAZZ,HONDA JAZZ,HONDA,JAZZ,HONDA JAZZ
193,HONDA,JAZZ ES GRAPHITE,HONDA JAZZ ES GRAPHITE,HONDA JAZZ,HONDA,JAZZ,HONDA JAZZ
194,HONDA,CIVIC,HONDA CIVIC,HONDA CIVIC,HONDA,CIVIC,HONDA CIVIC
195,HONDA,CIVIC TYPE R GT,HONDA CIVIC TYPE R GT,HONDA CIVIC,HONDA,CIVIC,HONDA CIVIC
196,HONDA,CIVIC IMA,HONDA CIVIC IMA,HONDA CIVIC,HONDA,CIVIC,HONDA CIVIC
