,marca_x,modelo_x,marca_y_modelo_km77,match,marca_y,modelo_y,marca_y_modelo_dgt
878,SAAB,9 5,SAAB 9 5,SAAB 9 5,SAAB,9 5,SAAB 9 5
879,SAAB,9 5,SAAB 9 5,SAAB 9 5,SAAB,9 5,SAAB 9 5
880,SAAB,9 5,SAAB 9 5,SAAB 9 5,SAAB,9 5,SAAB 9 5
881,RENAULT,LATITUDE,RENAULT LATITUDE,RENAULT LATITUDE,RENAULT,LATITUDE,RENAULT LATITUDE
882,VOLVO,S80,VOLVO S80,VOLVO S80,VOLVO,S80,VOLVO S80
883,MERCEDES,SLS AMG,MERCEDES SLS AMG,MERCEDES BENZ SLS AMG,MERCEDES BENZ,SLS AMG,MERCEDES BENZ SLS AMG
884,VOLVO,C30,VOLVO C30,VOLVO C30,VOLVO,C30,VOLVO C30
885,RENAULT,MEGANE RENAULT SPORT,RENAULT MEGANE RENAULT SPORT,RENAULT MEGANE SPORT TOURER,RENAULT,MEGANE SPORT TOURER,RENAULT MEGANE SPORT TOURER
886,VOLVO,V70,VOLVO V70,VOLVO V70,VOLVO,V70,VOLVO V70
887,SAAB,9 3,SAAB 9 3,SAAB 9 3,SAAB,9 3,SAAB 9 3
888,SAAB,9 3,SAAB 9 3,SAAB 9 3,SAAB,9 3,SAAB 9 3
889,SAAB,9 3,SAAB 9 3,SAAB 9 3,SAAB,9 3,SAAB 9 3
890,SAAB,9 3,SAAB 9 3,SAAB 9 3,SAAB,9 3,SAAB 9 3
891,SAAB,9 3X,SAAB 9 3X,SAAB 9 3,SAAB,9 3,SAAB 9 3
892,SAAB,9 3X,SAAB 9 3X,SAAB 9 3,SAAB,9 3,SAAB 9 3
893,SAAB,9 3X,SAAB 9 3X,SAAB 9 3,SAAB,9 3,SAAB 9 3
894,SAAB,9 3X,SAAB 9 3X,SAAB 9 3,SAAB,9 3,SAAB 9 3
895,INFINITI,QX70,INFINITI QX70,INFINITI QX70,INFINITI,QX70,INFINITI QX70
896,CITROEN,C CROSSER,CITROEN C CROSSER,CITROEN C CROSSER,CITROEN,C CROSSER,CITROEN C CROSSER
897,KIA,CARNIVAL,KIA CARNIVAL,KIA CARNIVAL,KIA,CARNIVAL,KIA CARNIVAL
898,VOLKSWAGEN,PASSAT CC,VOLKSWAGEN PASSAT CC,VOLKSWAGEN PASSAT CC,VOLKSWAGEN,PASSAT CC,VOLKSWAGEN PASSAT CC
899,VOLKSWAGEN,PASSAT CC R LINE,VOLKSWAGEN PASSAT CC R LINE,VOLKSWAGEN PASSAT CC,VOLKSWAGEN,PASSAT CC,VOLKSWAGEN PASSAT CC
900,VOLVO,S40,VOLVO S40,VOLVO S40,VOLVO,S40,VOLVO S40
901,VOLVO,S40 KINETIC,VOLVO S40 KINETIC,VOLVO S40,VOLVO,S40,VOLVO S40
902,VOLVO,V50,VOLVO V50,VOLVO V50,VOLVO,V50,VOLVO V50
903,SKODA,OCTAVIA GREENLINE,SKODA OCTAVIA GREENLINE,SKODA OCTAVIA GREEN LINE,SKODA,OCTAVIA GREEN LINE,SKODA OCTAVIA GREEN LINE
904,ALFA ROMEO,159,ALFA ROMEO 159,ALFA ROMEO 159,ALFA ROMEO,159,ALFA ROMEO 159
905,VOLKSWAGEN,POLO BLUEMOTION,VOLKSWAGEN POLO BLUEMOTION,VOLKSWAGEN POLO BLUE MOTION,VOLKSWAGEN,POLO BLUE MOTION,VOLKSWAGEN POLO BLUE MOTION
906,OPEL,VECTRA,OPEL VECTRA,OPEL VECTRA,OPEL,VECTRA,OPEL VECTRA
907,OPEL,VECTRA,OPEL VECTRA,OPEL VECTRA,OPEL,VECTRA,OPEL VECTRA
908,RENAULT,MEGANE GT,RENAULT MEGANE GT,RENAULT MEGANE G,RENAULT,MEGANE G,RENAULT MEGANE G
909,CHRYSLER,300C,CHRYSLER 300C,CHRYSLER 300C,CHRYSLER,300C,CHRYSLER 300C
910,SEAT,IBIZA FR,SEAT IBIZA FR,SEAT IBIZA FR,SEAT,IBIZA FR,SEAT IBIZA FR
911,JEEP,PATRIOT,JEEP PATRIOT,JEEP PATRIOT,JEEP,PATRIOT,JEEP PATRIOT
912,RENAULT,WIND,RENAULT WIND,RENAULT WIND,RENAULT,WIND,RENAULT WIND
913,LADA,4X4,LADA 4X4,LADA 4X4,LADA,4X4,LADA 4X4
914,VOLKSWAGEN,GOLF BLUEMOTION,VOLKSWAGEN GOLF BLUEMOTION,VOLKSWAGEN GOLF BLUE MOTION,VOLKSWAGEN,GOLF BLUE MOTION,VOLKSWAGEN GOLF BLUE MOTION
915,SUBARU,JUSTY,SUBARU JUSTY,SUBARU JUSTY,SUBARU,JUSTY,SUBARU JUSTY
916,NISSAN,PATROL,NISSAN PATROL,NISSAN PATROL,NISSAN,PATROL,NISSAN PATROL
917,SEAT,ALTEA FREETRACK,SEAT ALTEA FREETRACK,SEAT ALTEA FREETRACK,SEAT,ALTEA FREETRACK,SEAT ALTEA FREETRACK
918,VOLKSWAGEN,GOLF PLUS,VOLKSWAGEN GOLF PLUS,VOLKSWAGEN GOLF PLUS,VOLKSWAGEN,GOLF PLUS,VOLKSWAGEN GOLF PLUS
919,MAZDA,CX 7,MAZDA CX 7,MAZDA CX 7,MAZDA,CX 7,MAZDA CX 7
920,MAZDA,CX 7,MAZDA CX 7,MAZDA CX 7,MAZDA,CX 7,MAZDA CX 7
921,MAZDA,CX 7,MAZDA CX 7,MAZDA CX 7,MAZDA,CX 7,MAZDA CX 7
922,NISSAN,CUBE,NISSAN CUBE,NISSAN CUBE,NISSAN,CUBE,NISSAN CUBE
923,SSANGYONG,ACTYON,SSANGYONG ACTYON,SSANGYONG ACTYON,SSANGYONG,ACTYON,SSANGYONG ACTYON
924,DODGE,JOURNEY,DODGE JOURNEY,DODGE JOURNEY,DODGE,JOURNEY,DODGE JOURNEY
925,PEUGEOT,4007,PEUGEOT 4007,PEUGEOT 4007,PEUGEOT,4007,PEUGEOT 4007
926,DODGE,CALIBER,DODGE CALIBER,DODGE CALIBER,DODGE,CALIBER,DODGE CALIBER
927,VOLVO,C70,VOLVO C70,VOLVO C70,VOLVO,C70,VOLVO C70
928,MAZDA,RX 8,MAZDA RX 8,MAZDA RX 8,MAZDA,RX 8,MAZDA RX 8
929,PEUGEOT,COUPE 407,PEUGEOT COUPE 407,PEUGEOT 406 COUPE,PEUGEOT,406 COUPE,PEUGEOT 406 COUPE
930,CITROEN,C6,CITROEN C6,CITROEN C6,CITROEN,C6,CITROEN C6
931,SSANGYONG,KYRON,SSANGYONG KYRON,SSANGYONG KYRON,SSANGYONG,KYRON,SSANGYONG KYRON
932,HONDA,CIVIC HYBRID,HONDA CIVIC HYBRID,HONDA CIVIC HYBRID,HONDA,CIVIC HYBRID,HONDA CIVIC HYBRID
933,DAIHATSU,TERIOS,DAIHATSU TERIOS,DAIHATSU TERIOS,DAIHATSU,TERIOS,DAIHATSU TERIOS
934,ALFA ROMEO,BRERA,ALFA ROMEO BRERA,ALFA ROMEO BRERA,ALFA ROMEO,BRERA,ALFA ROMEO BRERA
935,SUZUKI,ALTO,SUZUKI ALTO,SUZUKI ALTO,SUZUKI,ALTO,SUZUKI ALTO
936,TOYOTA,COROLLA VERSO,TOYOTA COROLLA VERSO,TOYOTA COROLLA VERSO,TOYOTA,COROLLA VERSO,TOYOTA COROLLA VERSO
937,ALFA ROMEO,SPIDER,ALFA ROMEO SPIDER,ALFA ROMEO SPIDER,ALFA ROMEO,SPIDER,ALFA ROMEO SPIDER
938,ALFA ROMEO,8C SPIDER,ALFA ROMEO 8C SPIDER,ALFA ROMEO SPIDER,ALFA ROMEO,SPIDER,ALFA ROMEO SPIDER
939,PEUGEOT,407,PEUGEOT 407,PEUGEOT 407,PEUGEOT,407,PEUGEOT 407
940,LAND ROVER,DEFENDER SVX,LAND ROVER DEFENDER SVX,LAND ROVER DEFENDER,LAND ROVER,DEFENDER,LAND ROVER DEFENDER
941,LAND ROVER,DEFENDER,LAND ROVER DEFENDER,LAND ROVER DEFENDER,LAND ROVER,DEFENDER,LAND ROVER DEFENDER
942,JAGUAR,X TYPE,JAGUAR X TYPE,JAGUAR X TYPE,JAGUAR,X TYPE,JAGUAR X TYPE
943,JAGUAR,X TYPE,JAGUAR X TYPE,JAGUAR X TYPE,JAGUAR,X TYPE,JAGUAR X TYPE
944,VOLKSWAGEN,PASSAT BLUEMOTION,VOLKSWAGEN PASSAT BLUEMOTION,VOLKSWAGEN PASSAT BLUE MOTION,VOLKSWAGEN,PASSAT BLUE MOTION,VOLKSWAGEN PASSAT BLUE MOTION
945,HYUNDAI,SONATA,HYUNDAI SONATA,HYUNDAI SONATA,HYUNDAI,SONATA,HYUNDAI SONATA
946,FIAT,FIORINO,FIAT FIORINO,FIAT FIORINO,FIAT,FIORINO,FIAT FIORINO
947,CADILLAC,BLS,CADILLAC BLS,CADILLAC BLS,CADILLAC,BLS,CADILLAC BLS
948,CHRYSLER,GRAND VOYAGER,CHRYSLER GRAND VOYAGER,CHRYSLER GRAND VOYAGER,CHRYSLER,GRAND VOYAGER,CHRYSLER GRAND VOYAGER
949,CITROEN,C2,CITROEN C2,CITROEN C2,CITROEN,C2,CITROEN C2
950,OPEL,AGILA,OPEL AGILA,OPEL AGILA,OPEL,AGILA,OPEL AGILA
951,LANCIA,MUSA,LANCIA MUSA,LANCIA MUSA,LANCIA,MUSA,LANCIA MUSA
952,CHRYSLER,SEBRING,CHRYSLER SEBRING,CHRYSLER SEBRING,CHRYSLER,SEBRING,CHRYSLER SEBRING
953,OPEL,TIGRA,OPEL TIGRA,OPEL TIGRA,OPEL,TIGRA,OPEL TIGRA
954,CITROEN,C8,CITROEN C8,CITROEN C8,CITROEN,C8,CITROEN C8
955,CHEVROLET,HHR,CHEVROLET HHR,CHEVROLET HHR,CHEVROLET,HHR,CHEVROLET HHR
956,PEUGEOT,807,PEUGEOT 807,PEUGEOT 807,PEUGEOT,807,PEUGEOT 807
957,FIAT,CROMA,FIAT CROMA,FIAT CROMA,FIAT,CROMA,FIAT CROMA
958,RENAULT,GRAND MODUS,RENAULT GRAND MODUS,RENAULT GRAND MODUS,RENAULT,GRAND MODUS,RENAULT GRAND MODUS
959,SUBARU,TRIBECA,SUBARU TRIBECA,SUBARU TRIBECA,SUBARU,TRIBECA,SUBARU TRIBECA
960,LANCIA,PHEDRA,LANCIA PHEDRA,LANCIA PHEDRA,LANCIA,PHEDRA,LANCIA PHEDRA
961,NISSAN,TIIDA,NISSAN TIIDA,NISSAN TIIDA,NISSAN,TIIDA,NISSAN TIIDA
962,SEAT,ALTEA XL,SEAT ALTEA XL,SEAT ALTEA XL,SEAT,ALTEA XL,SEAT ALTEA XL
963,CHEVROLET,LACETTI,CHEVROLET LACETTI,CHEVROLET LACETTI,CHEVROLET,LACETTI,CHEVROLET LACETTI
964,OPEL,GT,OPEL GT,OPEL GT,OPEL,GT,OPEL GT
965,CHEVROLET,MATIZ,CHEVROLET MATIZ,CHEVROLET MATIZ,CHEVROLET,MATIZ,CHEVROLET MATIZ
966,TATA,INDICA,TATA INDICA,TATA INDICA,TATA,INDICA,TATA INDICA
967,FIAT,IDEA,FIAT IDEA,FIAT IDEA,FIAT,IDEA,FIAT IDEA
968,CHEVROLET,NUBIRA,CHEVROLET NUBIRA,CHEVROLET NUBIRA,CHEVROLET,NUBIRA,CHEVROLET NUBIRA
969,DODGE,AVENGER,DODGE AVENGER,DODGE AVENGER,DODGE,AVENGER,DODGE AVENGER
970,HYUNDAI,COUPE,HYUNDAI COUPE,HYUNDAI COUPE,HYUNDAI,COUPE,HYUNDAI COUPE
971,CHEVROLET,EPICA,CHEVROLET EPICA,CHEVROLET EPICA,CHEVROLET,EPICA,CHEVROLET EPICA
972,TATA,GRAND SAFARI,TATA GRAND SAFARI,TATA GRAND SAFARI DICOR,TATA,GRAND SAFARI DICOR,TATA GRAND SAFARI DICOR
973,HONDA,FR V,HONDA FR V,HONDA FR V,HONDA,FR V,HONDA FR V
974,HONDA,FR V,HONDA FR V,HONDA FR V,HONDA,FR V,HONDA FR V
975,HONDA,LEGEND,HONDA LEGEND,HONDA LEGEND,HONDA,LEGEND,HONDA LEGEND
976,KIA,OPIRUS,KIA OPIRUS,KIA OPIRUS,KIA,OPIRUS,KIA OPIRUS
977,HYUNDAI,ACCENT,HYUNDAI ACCENT,HYUNDAI ACCENT,HYUNDAI,ACCENT,HYUNDAI ACCENT
978,RENAULT,VEL SATIS,RENAULT VEL SATIS,RENAULT VEL SATIS,RENAULT,VEL SATIS,RENAULT VEL SATIS
979,JEEP,COMMANDER,JEEP COMMANDER,JEEP COMMANDER,JEEP,COMMANDER,JEEP COMMANDER
980,SEAT,CORDOBA,SEAT CORDOBA,SEAT CORDOBA,SEAT,CORDOBA,SEAT CORDOBA
981,KIA,MAGENTIS,KIA MAGENTIS,KIA MAGENTIS,KIA,MAGENTIS,KIA MAGENTIS
982,DODGE,NITRO,DODGE NITRO,DODGE NITRO,DODGE,NITRO,DODGE NITRO
983,FORD,FUSION,FORD FUSION,FORD FUSION,FORD,FUSION,FORD FUSION
984,LEXUS,SC,LEXUS SC,LEXUS SC 430,LEXUS,SC 430,LEXUS SC 430
985,MITSUBISHI,GRANDIS,MITSUBISHI GRANDIS,MITSUBISHI GRANDIS,MITSUBISHI,GRANDIS,MITSUBISHI GRANDIS
986,DAIHATSU,SIRION,DAIHATSU SIRION,DAIHATSU SIRION,DAIHATSU,SIRION,DAIHATSU SIRION
987,HYUNDAI,GETZ,HYUNDAI GETZ,HYUNDAI GETZ,HYUNDAI,GETZ,HYUNDAI GETZ
988,PEUGEOT,307,PEUGEOT 307,PEUGEOT 307,PEUGEOT,307,PEUGEOT 307
989,VOLKSWAGEN,NEW BEETLE,VOLKSWAGEN NEW BEETLE,VOLKSWAGEN NEW BEETLE,VOLKSWAGEN,NEW BEETLE,VOLKSWAGEN NEW BEETLE
990,HUMMER,H3,HUMMER H3,HUMMER H3,HUMMER,H3,HUMMER H3
991,VOLKSWAGEN,FOX,VOLKSWAGEN FOX,VOLKSWAGEN FOX,VOLKSWAGEN,FOX,VOLKSWAGEN FOX
992,PEUGEOT,1007,PEUGEOT 1007,PEUGEOT 1007,PEUGEOT,1007,PEUGEOT 1007
993,CHEVROLET,KALOS,CHEVROLET KALOS,CHEVROLET KALOS,CHEVROLET,KALOS,CHEVROLET KALOS
994,PORSCHE,BOXSTER S,PORSCHE BOXSTER S,PORSCHE BOXSTER S,PORSCHE,BOXSTER S,PORSCHE BOXSTER S
995,PEUGEOT,607,PEUGEOT 607,PEUGEOT 607,PEUGEOT,607,PEUGEOT 607
996,MINI,MINI COOPER S,MINI MINI COOPER S,MINI COOPER S,MINI,COOPER S,MINI COOPER S
997,PORSCHE,911 CARRERA S,PORSCHE 911 CARRERA S,PORSCHE 911 CARRERA S,PORSCHE,911 CARRERA S,PORSCHE 911 CARRERA S
998,MG,ZR,MG ZR,MG ZR,MG,ZR,MG ZR
999,MITSUBISHI,MONTERO SPORT,MITSUBISHI MONTERO SPORT,MITSUBISHI MONTERO SPORT,MITSUBISHI,MONTERO SPORT,MITSUBISHI MONTERO SPORT
1000,ROVER,25,ROVER 25,ROVER 25,ROVER,25,ROVER 25
1001,RENAULT,MODUS,RENAULT MODUS,RENAULT MODUS,RENAULT,MODUS,RENAULT MODUS
1002,ALFA ROMEO,GT,ALFA ROMEO GT,ALFA ROMEO GT,ALFA ROMEO,GT,ALFA ROMEO GT
1003,KIA,CERATO,KIA CERATO,KIA CERATO,KIA,CERATO,KIA CERATO
1004,FIAT,MULTIPLA,FIAT MULTIPLA,FIAT MULTIPLA,FIAT,MULTIPLA,FIAT MULTIPLA
1005,CHRYSLER,VOYAGER,CHRYSLER VOYAGER,CHRYSLER VOYAGER,CHRYSLER,VOYAGER,CHRYSLER VOYAGER
1006,ROVER,75,ROVER 75,ROVER 75,ROVER,75,ROVER 75
1007,ALFA ROMEO,166,ALFA ROMEO 166,ALFA ROMEO 166,ALFA ROMEO,166,ALFA ROMEO 166
1008,HONDA,S2000,HONDA S2000,HONDA S2000,HONDA,S2000,HONDA S2000
1009,FIAT,BARCHETTA,FIAT BARCHETTA,FIAT BARCHETTA,FIAT,BARCHETTA,FIAT BARCHETTA
1010,ALFA ROMEO,GTV,ALFA ROMEO GTV,ALFA ROMEO GTV,ALFA ROMEO,GTV,ALFA ROMEO GTV
1011,NISSAN,ALMERA TINO,NISSAN ALMERA TINO,NISSAN ALMERA TINO,NISSAN,ALMERA TINO,NISSAN ALMERA TINO
1012,MERCEDES,VIANO,MERCEDES VIANO,MERCEDES BENZ VIANO,MERCEDES BENZ,VIANO,MERCEDES BENZ VIANO
1013,VOLVO,S60 R,VOLVO S60 R,VOLVO S60 R,VOLVO,S60 R,VOLVO S60 R
1014,OPEL,SIGNUM,OPEL SIGNUM,OPEL SIGNUM,OPEL,SIGNUM,OPEL SIGNUM
1015,DAEWOO,NUBIRA DAEWOO,DAEWOO NUBIRA DAEWOO,DAEWOO NUBIRA 1 6,DAEWOO,NUBIRA 1 6,DAEWOO NUBIRA 1 6
1016,DAEWOO,NUBIRA DAEWOO,DAEWOO NUBIRA DAEWOO,DAEWOO NUBIRA 1 6,DAEWOO,NUBIRA 1 6,DAEWOO NUBIRA 1 6
1017,DAEWOO,NUBIRA DAEWOO,DAEWOO NUBIRA DAEWOO,DAEWOO NUBIRA 1 6,DAEWOO,NUBIRA 1 6,DAEWOO NUBIRA 1 6
1018,PORSCHE,CARRERA GT,PORSCHE CARRERA GT,PORSCHE CARRERA,PORSCHE,CARRERA,PORSCHE CARRERA
1019,DAEWOO,EVANDA,DAEWOO EVANDA,DAEWOO EVANDA,DAEWOO,EVANDA,DAEWOO EVANDA
1020,FIAT,STILO,FIAT STILO,FIAT STILO,FIAT,STILO,FIAT STILO
1021,NISSAN,ALMERA,NISSAN ALMERA,NISSAN ALMERA,NISSAN,ALMERA,NISSAN ALMERA
1022,NISSAN,ALMERA ELEGANCE,NISSAN ALMERA ELEGANCE,NISSAN ALMERA,NISSAN,ALMERA,NISSAN ALMERA
1023,DAEWOO,KALOS DAEWOO,DAEWOO KALOS DAEWOO,DAEWOO KALOS 1 4,DAEWOO,KALOS 1 4,DAEWOO KALOS 1 4
1024,TOYOTA,MR2,TOYOTA MR2,TOYOTA MR2,TOYOTA,MR2,TOYOTA MR2
1025,TOYOTA,CELICA,TOYOTA CELICA,TOYOTA CELICA,TOYOTA,CELICA,TOYOTA CELICA
1026,LANCIA,THESIS,LANCIA THESIS,LANCIA THESIS,LANCIA,THESIS,LANCIA THESIS
1027,MAZDA,MPV,MAZDA MPV,MAZDA MPV,MAZDA,MPV,MAZDA MPV
1028,CHRYSLER,PACIFICA,CHRYSLER PACIFICA,CHRYSLER PACIFICA,CHRYSLER,PACIFICA,CHRYSLER PACIFICA
1029,MG,TF,MG TF,MG TF,MG,TF,MG TF
1030,MAZDA,PREMACY,MAZDA PREMACY,MAZDA PREMACY,MAZDA,PREMACY,MAZDA PREMACY
1031,CHRYSLER,NEON,CHRYSLER NEON,CHRYSLER NEON,CHRYSLER,NEON,CHRYSLER NEON
1032,RENAULT,AVANTIME,RENAULT AVANTIME,RENAULT AVANTIME,RENAULT,AVANTIME,RENAULT AVANTIME
1033,TOYOTA,AVENSIS VERSO,TOYOTA AVENSIS VERSO,TOYOTA AVENSIS VERSO,TOYOTA,AVENSIS VERSO,TOYOTA AVENSIS VERSO
1034,MG,ZT,MG ZT,MG ZT,MG,ZT,MG ZT
1035,HYUNDAI,TERRACAN,HYUNDAI TERRACAN,HYUNDAI TERRACAN,HYUNDAI,TERRACAN,HYUNDAI TERRACAN
1036,MITSUBISHI,SPACE RUNNER,MITSUBISHI SPACE RUNNER,MITSUBISHI SPACE RUNNER,MITSUBISHI,SPACE RUNNER,MITSUBISHI SPACE RUNNER
1037,DAEWOO,LANOS 1997,DAEWOO LANOS 1997,DAEWOO LANOS,DAEWOO,LANOS,DAEWOO LANOS
1038,HONDA,STREAM,HONDA STREAM,HONDA STREAM,HONDA,STREAM,HONDA STREAM
1039,MAZDA,626,MAZDA 626,MAZDA 626,MAZDA,626,MAZDA 626
1040,ALFA ROMEO,147 IMPRESSION,ALFA ROMEO 147 IMPRESSION,ALFA ROMEO ALFA 147,ALFA ROMEO,ALFA 147,ALFA ROMEO ALFA 147
1041,MAZDA,323,MAZDA 323,MAZDA 323,MAZDA,323,MAZDA 323
1042,SUZUKI,LIANA,SUZUKI LIANA,SUZUKI LIANA,SUZUKI,LIANA,SUZUKI LIANA
1043,HYUNDAI,MATRIX,HYUNDAI MATRIX,HYUNDAI MATRIX,HYUNDAI,MATRIX,HYUNDAI MATRIX
1044,MITSUBISHI,GALANT,MITSUBISHI GALANT,MITSUBISHI GALANT,MITSUBISHI,GALANT,MITSUBISHI GALANT
1045,FORD,THUNDERBIRD,FORD THUNDERBIRD,FORD THUNDERBIRD,FORD,THUNDERBIRD,FORD THUNDERBIRD
1046,BMW,Z3 M,BMW Z3 M,BMW Z3,BMW,Z3,BMW Z3
1047,CITROEN,XSARA,CITROEN XSARA,CITROEN XSARA,CITROEN,XSARA,CITROEN XSARA
1048,MITSUBISHI,MONTERO IO,MITSUBISHI MONTERO IO,MITSUBISHI MONTERO IO,MITSUBISHI,MONTERO IO,MITSUBISHI MONTERO IO
1049,MITSUBISHI,MONTERO IO,MITSUBISHI MONTERO IO,MITSUBISHI MONTERO IO,MITSUBISHI,MONTERO IO,MITSUBISHI MONTERO IO
1050,MITSUBISHI,MONTERO IO,MITSUBISHI MONTERO IO,MITSUBISHI MONTERO IO,MITSUBISHI,MONTERO IO,MITSUBISHI MONTERO IO
1051,DAEWOO,TACUMA DAEWOO,DAEWOO TACUMA DAEWOO,DAEWOO TACUMA,DAEWOO,TACUMA,DAEWOO TACUMA
1052,MITSUBISHI,CARISMA,MITSUBISHI CARISMA,MITSUBISHI CARISMA,MITSUBISHI,CARISMA,MITSUBISHI CARISMA
1053,FIAT,PALIO,FIAT PALIO,FIAT PALIO,FIAT,PALIO,FIAT PALIO
1054,PEUGEOT,406,PEUGEOT 406,PEUGEOT 406,PEUGEOT,406,PEUGEOT 406
1055,SEAT,AROSA,SEAT AROSA,SEAT AROSA,SEAT,AROSA,SEAT AROSA
1056,HYUNDAI,TRAJET,HYUNDAI TRAJET,HYUNDAI TRAJET,HYUNDAI,TRAJET,HYUNDAI TRAJET
1057,TOYOTA,PREVIA,TOYOTA PREVIA,TOYOTA PREVIA,TOYOTA,PREVIA,TOYOTA PREVIA
1058,AUDI,A2,AUDI A2,AUDI A2,AUDI,A2,AUDI A2
1059,CITROEN,XSARA PICASSO,CITROEN XSARA PICASSO,CITROEN XSARA PICASSO,CITROEN,XSARA PICASSO,CITROEN XSARA PICASSO
1060,CITROEN,XSARA PICASSO,CITROEN XSARA PICASSO,CITROEN XSARA PICASSO,CITROEN,XSARA PICASSO,CITROEN XSARA PICASSO
